step,distance_to_target,mae,collisions
0,7.339156890576257,7.339156890576257,0
1,7.240575841280046,7.240575841280046,0
2,7.101304864070671,7.101304864070671,0
3,6.928646956962379,6.928646956962379,0
4,6.730616187732554,6.730616187732554,0
5,6.515629920050101,6.515629920050101,0
6,6.292231545896561,6.292231545896561,0
7,6.06883796097635,6.06883796097635,0
8,5.85351795650418,5.85351795650418,0
9,5.6538118088603655,5.6538118088603655,0
10,5.476594520953492,5.476594520953492,0
11,5.327965571715227,5.327965571715227,0
12,5.213122709793205,5.213122709793205,0
13,5.1361663846581065,5.1361663846581065,0
14,5.099956482297041,5.099956482297041,0
15,5.105456941690507,5.105456941690507,0
16,5.15140188895874,5.15140188895874,0
17,5.23421079854969,5.23421079854969,0
18,5.348306439843614,5.348306439843614,0
19,5.4867207259269675,5.4867207259269675,0
20,5.641816100585305,5.641816100585305,0
21,5.805909556345484,5.805909556345484,0
22,5.971706535879229,5.971706535879229,0
23,6.132557712207264,6.132557712207264,0
24,6.282589367415516,6.282589367415516,0
25,6.416757370250811,6.416757370250811,0
26,6.530860865858852,6.530860865858852,0
27,6.621537389489834,6.621537389489834,0
28,6.686250883039204,6.686250883039204,0
29,6.723278327082274,6.723278327082274,0
30,6.731697896715888,6.731697896715888,0
31,6.711380228273838,6.711380228273838,0
32,6.6629836555589455,6.6629836555589455,0
33,6.587953677452133,6.587953677452133,0
34,6.488526174122495,6.488526174122495,0
35,6.367732744097953,6.367732744097953,0
36,6.229404683811085,6.229404683811085,0
37,6.078169186061745,6.078169186061745,0
38,5.9194268562891414,5.9194268562891414,0
39,5.75929333133978,5.75929333133978,0
40,5.604479990338251,5.604479990338251,0
41,5.462081658519423,5.462081658519423,0
42,5.339238643957601,5.339238643957601,0
43,5.242656595333434,5.242656595333434,0
44,5.178010198734281,5.178010198734281,0
45,5.14932167547038,5.14932167547038,0
46,5.1584627806622745,5.1584627806622745,0
47,5.204931653387776,5.204931653387776,0
48,5.285974208344072,5.285974208344072,0
49,5.3969914144379105,5.3969914144379105,0
