episode,reward,length
0,-4.494434358103863,200
1,-101.86363020051876,200
2,39.498551070483174,200
3,-107.15938486838415,200
4,-83.98872216856978,200
5,43.460107921839494,200
6,-2.66830570376149,200
7,94.98278002002006,200
8,104.11104286451805,200
9,-76.60586221380623,200
10,136.3593268640219,200
11,47.73712020055318,200
12,95.11299616112052,200
13,62.24666835900686,200
14,49.83017179758405,200
15,-30.017438373710732,200
16,39.93034299179422,200
17,100.77022715375651,200
18,-81.94061460817282,200
19,50.53887015285028,200
20,-93.32176473811187,200
21,53.225870063889,200
22,30.679736706099614,200
23,-43.125517483558234,200
24,45.449740505929654,200
25,49.27912699244812,200
26,81.5113823974456,200
27,-24.996052834433677,200
28,44.5507724487001,200
29,-4.874825132635795,200
30,47.88262156936466,200
31,-32.95184378063925,200
32,-74.38408999180862,200
33,34.45362495408006,200
34,65.81684638405417,200
35,11.392057469259239,200
36,48.844959319277365,200
37,-36.106342844040796,200
38,35.67795255593947,200
39,-12.636810653881636,200
40,6.212385657995956,200
41,94.61206322794743,200
42,47.48011119772284,200
43,-100.54269682378512,200
44,69.86802916088226,200
45,13.869361028328598,200
46,73.11024318432848,200
47,95.1792242693331,200
48,68.97589362206985,200
49,21.83335662937994,200
