step,agent_id,Kp,Ki,Kd
0,0,1.1027712598443031,0.14537444189190865,-0.04393154919147491
1,0,1.2052642852067947,0.1901237651705742,-0.0999601536989212
2,0,1.3074523955583572,0.23380272313952447,-0.15806254535913467
3,0,1.4092701971530914,0.2759506724774837,-0.21823163121938705
4,0,1.5105845108628273,0.31608100458979604,-0.2804568687081337
5,0,1.6111578345298767,0.353676351159811,-0.34469141602516173
6,0,1.710597202181816,0.3881963700056076,-0.4108061024546623
7,0,1.808280624449253,0.4191086295992136,-0.4785413721203804
8,0,1.9032590091228485,0.4459535278379917,-0.5474863478541374
9,0,1.9941453710198402,0.46843266151845453,-0.617129353582859
10,0,2.079018846154213,0.48643450289964674,-0.6869994828104973
11,0,2.1554010212421417,0.49981783274561165,-0.7568454274535179
12,0,2.2203616350889206,0.5078789176419377,-0.8267411568760872
13,0,2.2706221230328083,0.508865122590214,-0.8969309011101723
14,0,2.302599001675844,0.5002821152098477,-0.9671116822957992
15,0,2.3131114253774285,0.48051250809803603,-1.0352840477228165
16,0,2.301119973883033,0.4505497206933796,-1.097272908091545
17,0,2.2685238737612963,0.41342797027900813,-1.1480973416566849
18,0,2.2189326342195272,0.3721079182811081,-1.184241538643837
19,0,2.156119404360652,0.3284208838827908,-1.2046158814430237
20,0,2.0832539554685354,0.28334915535524485,-1.2099796163477003
21,0,2.0027773063629866,0.237479652184993,-1.2018281801231205
22,0,1.9165687840431929,0.19121463494375346,-1.1816244947351515
23,0,1.826155735179782,0.14487632261589167,-1.1505688822455704
24,0,1.7328425031155348,0.09875567527487872,-1.1096900722570717
25,0,1.6377410050481558,0.053104991931468226,-1.0600248670764267
26,0,1.5417357217520475,0.008113535959273555,-1.0027172810025513
27,0,1.4454502444714308,-0.03609635038301351,-0.9389801940508187
28,0,1.3492596950381994,-0.07945275409147146,-0.8699846810288727
29,0,1.2533402647823095,-0.12191418660804632,-0.7967689728923142
30,0,1.1577272396534681,-0.16345561398193242,-0.7202056071348488
31,0,1.0623638313263655,-0.20406134156510236,-0.6410175880976021
32,0,0.9671376254409552,-0.24372238768264654,-0.559820870179683
33,0,0.8719087447971106,-0.28243653578683736,-0.47717564018443226
34,0,0.776536276564002,-0.32021009279415014,-0.3936360499449074
35,0,0.6809110846370459,-0.3570608320645988,-0.3097917235083878
36,0,0.5850053261965513,-0.39302059365436437,-0.22629496665671467
