step,distance_to_target,mae,collisions
0,11.09333885589669,11.09333885589669,0
1,10.927079155076969,10.927079155076969,0
2,10.680986711196732,10.680986711196732,0
3,10.359084369530718,10.359084369530718,0
4,9.966860243769645,9.966860243769645,0
5,9.511404116445929,9.511404116445929,0
6,9.00162033662871,9.00162033662871,0
7,8.448552894664608,8.448552894664608,0
8,7.865869759177665,7.865869759177665,0
9,7.270556178268464,7.270556178268464,0
10,6.683831701456653,6.683831701456653,0
11,6.132159582232937,6.132159582232937,0
12,5.647817361200883,5.647817361200883,0
13,5.267722100207054,5.267722100207054,0
14,5.028472813971248,5.028472813971248,0
15,4.95671883736489,4.95671883736489,0
16,5.058752988775518,5.058752988775518,0
17,5.317306702678457,5.317306702678457,0
18,5.698615184652946,5.698615184652946,0
19,6.163577776580367,6.163577776580367,0
20,6.67580714932389,6.67580714932389,0
21,7.204855126331415,7.204855126331415,0
22,7.726404622468471,7.726404622468471,0
23,8.221327458270872,8.221327458270872,0
24,8.674599579738059,8.674599579738059,0
25,9.074411818672662,9.074411818672662,0
26,9.411525706435157,9.411525706435157,0
27,9.67883323953684,9.67883323953684,0
28,9.871066192383871,9.871066192383871,0
29,9.984610249294105,9.984610249294105,0
30,10.017392525533387,10.017392525533387,0
31,9.968822611910722,9.968822611910722,0
32,9.839776521864588,9.839776521864588,0
33,9.632620627235623,9.632620627235623,0
34,9.35127992408499,9.35127992408499,0
35,9.001362894146983,9.001362894146983,0
36,8.590364881054105,8.590364881054105,0
37,8.12798392643874,8.12798392643874,0
38,7.6265962773389475,7.6265962773389475,0
39,7.101946204373924,7.101946204373924,0
40,6.5740823125298515,6.5740823125298515,0
41,6.068455390089954,6.068455390089954,0
42,5.616745527048721,5.616745527048721,0
43,5.256253978506859,5.256253978506859,0
44,5.02583159040958,5.02583159040958,0
45,4.956910542802907,4.956910542802907,0
46,5.062455472072553,5.062455472072553,0
47,5.331637055654652,5.331637055654652,0
48,5.734976784452474,5.734976784452474,0
49,6.235190000041377,6.235190000041377,0
50,6.796020540749262,6.796020540749262,0
51,7.386309333671796,7.386309333671796,0
52,7.980683083084883,7.980683083084883,0
53,8.558825287273866,8.558825287273866,0
54,9.104460661296667,9.104460661296667,0
55,9.604478350658685,9.604478350658685,0
56,10.048282413352553,10.048282413352553,0
57,10.427342507878993,10.427342507878993,0
58,10.734893984016123,10.734893984016123,0
59,10.965742272496424,10.965742272496424,0
60,11.116138187189028,11.116138187189028,0
61,11.18370139032666,11.18370139032666,0
62,11.167377489754188,11.167377489754188,0
63,11.067420412932286,11.067420412932286,0
64,10.885396575355262,10.885396575355262,0
65,10.624211669750412,10.624211669750412,0
66,10.288165345997953,10.288165345997953,0
67,9.883044340533155,9.883044340533155,0
68,9.41627150183591,9.41627150183591,0
69,8.89713731964273,8.89713731964273,0
70,8.337151963285141,8.337151963285141,0
71,7.75056661759795,7.75056661759795,0
72,7.155111429445363,7.155111429445363,0
73,6.572948555107139,6.572948555107139,0
74,6.031656625105831,6.031656625105831,0
75,5.56459410747452,5.56459410747452,0
76,5.209156320751772,5.209156320751772,0
77,5.000881386180518,5.000881386180518,0
78,4.963167430806684,4.963167430806684,0
79,5.097637753619033,5.097637753619033,0
80,5.383010319056354,5.383010319056354,0
81,5.783634105650736,5.783634105650736,0
82,6.260466265700125,6.260466265700125,0
83,6.7781482749162745,6.7781482749162745,0
84,7.307465098168138,7.307465098168138,0
85,7.825194939158215,7.825194939158215,0
86,8.313088202255848,8.313088202255848,0
87,8.756807386940181,8.756807386940181,0
88,9.145086223820405,9.145086223820405,0
89,9.469129361457776,9.469129361457776,0
