step,error,Kp,Ki,Kd
57,0.0,3.349999999999996,0.08000000000000002,0.004999999999999998
58,0.0,3.399999999999996,0.08000000000000002,0.004999999999999998
59,0.0,3.4499999999999957,0.08000000000000002,0.004999999999999998
60,0.0,3.4999999999999956,0.08000000000000002,0.004999999999999998
61,0.0,3.5499999999999954,0.08000000000000002,0.004999999999999998
62,0.0,3.599999999999995,0.08000000000000002,0.004999999999999998
63,0.0,3.649999999999995,0.08000000000000002,0.004999999999999998
64,0.0,3.699999999999995,0.08000000000000002,0.004999999999999998
65,0.0,3.7499999999999947,0.08000000000000002,0.004999999999999998
66,0.0,3.7999999999999945,0.08000000000000002,0.004999999999999998
67,0.0,3.8499999999999943,0.08000000000000002,0.004999999999999998
68,0.0,3.899999999999994,0.08000000000000002,0.004999999999999998
69,0.0,3.949999999999994,0.08000000000000002,0.004999999999999998
70,0.0,3.999999999999994,0.08000000000000002,0.004999999999999998
71,0.0,4.049999999999994,0.08000000000000002,0.004999999999999998
72,0.0,4.099999999999993,0.08000000000000002,0.004999999999999998
73,0.0,4.149999999999993,0.08000000000000002,0.004999999999999998
74,0.0,4.199999999999993,0.08000000000000002,0.004999999999999998
75,0.0,4.249999999999993,0.08000000000000002,0.004999999999999998
76,0.0,4.249999999999993,0.08000000000000002,-1.734723475976807e-18
77,0.0,4.299999999999993,0.08000000000000002,-1.734723475976807e-18
78,0.0,4.3499999999999925,0.08000000000000002,-1.734723475976807e-18
79,0.0,4.399999999999992,0.08000000000000002,-1.734723475976807e-18
80,0.0,4.449999999999992,0.08000000000000002,-1.734723475976807e-18
81,0.0,4.449999999999992,0.07000000000000002,-1.734723475976807e-18
82,0.0,4.499999999999992,0.07000000000000002,-1.734723475976807e-18
83,0.0,4.549999999999992,0.07000000000000002,-1.734723475976807e-18
84,0.0,4.599999999999992,0.07000000000000002,-1.734723475976807e-18
85,0.0,4.6499999999999915,0.07000000000000002,-1.734723475976807e-18
86,0.0,4.699999999999991,0.07000000000000002,-1.734723475976807e-18
87,0.0,4.749999999999991,0.07000000000000002,-1.734723475976807e-18
88,0.0,4.799999999999991,0.07000000000000002,-1.734723475976807e-18
89,0.0,4.849999999999991,0.07000000000000002,-1.734723475976807e-18
90,0.0,4.899999999999991,0.07000000000000002,-1.734723475976807e-18
91,0.0,4.899999999999991,0.07000000000000002,0.004999999999999998
92,0.0,4.899999999999991,0.07000000000000002,-1.734723475976807e-18
93,0.0,4.94999999999999,0.07000000000000002,-1.734723475976807e-18
94,0.0,4.99999999999999,0.07000000000000002,-1.734723475976807e-18
95,0.0,5.04999999999999,0.07000000000000002,-1.734723475976807e-18
96,0.0,5.09999999999999,0.07000000000000002,-1.734723475976807e-18
97,0.0,5.14999999999999,0.07000000000000002,-1.734723475976807e-18
98,0.0,5.1999999999999895,0.07000000000000002,-1.734723475976807e-18
99,0.0,5.249999999999989,0.07000000000000002,-1.734723475976807e-18
