step,distance_to_target,mae,collisions
0,8.306657265786928,8.306657265786928,0
1,8.201014498443005,8.201014498443005,0
2,8.047793382326685,8.047793382326685,0
3,7.851785967562247,7.851785967562247,0
4,7.618640272974765,7.618640272974765,0
5,7.354843170464576,7.354843170464576,0
6,7.067749239886752,7.067749239886752,0
7,6.7656362462548705,6.7656362462548705,0
8,6.457761250387171,6.457761250387171,0
9,6.15437806208075,6.15437806208075,0
10,5.8666549960404275,5.8666549960404275,0
11,5.6064062172838804,5.6064062172838804,0
12,5.3855391460024045,5.3855391460024045,0
13,5.215159400653756,5.215159400653756,0
14,5.104367084974107,5.104367084974107,0
15,5.058894741292373,5.058894741292373,0
16,5.079962188474395,5.079962188474395,0
17,5.1638656041476105,5.1638656041476105,0
18,5.302548158228859,5.302548158228859,0
19,5.484915815518472,5.484915815518472,0
20,5.698376872105588,5.698376872105588,0
21,5.930157561356799,5.930157561356799,0
22,6.168202697165092,6.168202697165092,0
23,6.401680981811266,6.401680981811266,0
24,6.621203908978973,6.621203908978973,0
25,6.818871531721603,6.818871531721603,0
26,6.9882297944806195,6.9882297944806195,0
27,7.124192802100207,7.124192802100207,0
28,7.222959856997049,7.222959856997049,0
29,7.2819422477835465,7.2819422477835465,0
30,7.299706471446035,7.299706471446035,0
31,7.275936443872507,7.275936443872507,0
32,7.211415506423227,7.211415506423227,0
33,7.10802845747296,7.10802845747296,0
34,6.9687835707739945,6.9687835707739945,0
35,6.7978538476324655,6.7978538476324655,0
36,6.600634681796962,6.600634681796962,0
37,6.383810441395685,6.383810441395685,0
38,6.155413524903457,6.155413524903457,0
39,5.924844432529917,5.924844432529917,0
40,5.702799282046981,5.702799282046981,0
41,5.501023493728373,5.501023493728373,0
42,5.331785216761174,5.331785216761174,0
43,5.206965477455067,5.206965477455067,0
44,5.1367495902524185,5.1367495902524185,0
45,5.128117776757613,5.128117776757613,0
46,5.183586434516568,5.183586434516568,0
47,5.300731237264774,5.300731237264774,0
48,5.472741481782596,5.472741481782596,0
49,5.6897144835241145,5.6897144835241145,0
50,5.940111912675149,5.940111912675149,0
51,6.211974524290797,6.211974524290797,0
52,6.4937690880759185,6.4937690880759185,0
53,6.7748920505430155,6.7748920505430155,0
54,7.0459117060748495,7.0459117060748495,0
55,7.2986418380222675,7.2986418380222675,0
56,7.526124269187773,7.526124269187773,0
57,7.722572593221269,7.722572593221269,0
58,7.883306983608268,7.883306983608268,0
59,8.004694721723178,8.004694721723178,0
60,8.084102299697964,8.084102299697964,0
61,8.119860577158295,8.119860577158295,0
62,8.111242686821916,8.111242686821916,0
63,8.058453981537818,8.058453981537818,0
64,7.962633576782536,7.962633576782536,0
65,7.825867546387296,7.825867546387296,0
66,7.6512142777152246,7.6512142777152246,0
67,7.442742563954416,7.442742563954416,0
68,7.205582204476104,7.205582204476104,0
69,6.9459843227208635,6.9459843227208635,0
70,6.671382806150729,6.671382806150729,0
71,6.390436983637882,6.390436983637882,0
72,6.113016408304294,6.113016408304294,0
73,5.850061340249898,5.850061340249898,0
74,5.613226130443687,5.613226130443687,0
75,5.414212007853095,5.414212007853095,0
76,5.263751698863991,5.263751698863991,0
77,5.170328548592669,5.170328548592669,0
78,5.138883054582026,5.138883054582026,0
79,5.169917238887592,5.169917238887592,0
80,5.25935096042349,5.25935096042349,0
81,5.399177902499956,5.399177902499956,0
