episode,reward,length
0,60.465599592296385,200
1,-43.75435030657075,200
2,-38.16260854869677,200
3,-44.41714415809298,200
4,1.6140560734933445,200
5,51.047494882496245,200
6,5.642773421001042,200
7,125.2385451431237,200
8,59.15533142401578,200
9,9.844189883903141,200
10,-17.561856169052774,200
11,34.26258911305851,200
12,24.336386498162554,200
13,-27.236254393482362,200
14,-61.92399532520127,200
15,-52.27315190372774,200
16,36.11285107784208,200
17,18.704568661760053,200
18,-21.110611854860814,200
19,39.3394049552289,200
20,-55.11982433427317,200
21,42.50299028108572,200
22,91.29102268007448,200
23,25.524417924446393,200
24,25.41890332635213,200
25,-12.858768637787342,200
26,-55.815332560156094,200
27,36.56510866614785,200
28,78.48658733535731,200
29,-54.07562374339,200
30,120.86264997042717,200
31,65.00366592414144,200
32,0.6150287968658823,200
33,14.477234804237323,200
34,112.12029228305359,200
35,84.75057508436115,200
36,27.165616917776937,200
37,11.99122212458456,200
38,71.2039611231984,200
39,-26.080532072005553,200
40,170.32232249535025,200
41,35.921972686397616,200
42,-84.04480780933004,200
43,54.85656914949971,200
44,0.003796894141412821,200
45,-3.292470545686207,200
46,-11.819107478153636,200
47,-100.56204343479286,200
48,-18.01406418853031,200
49,-67.09033368575568,200
