step,agent_id,Kp,Ki,Kd,mae
0,0,1.0050799632444978,0.193035988509655,-0.09514546930789948,6.4753516880732205
1,0,1.0104001043364406,0.28639028072357176,-0.1997697928547859,6.391244941688488
2,0,1.0164418378844857,0.37970287203788755,-0.3031665661931038,6.272934216992104
3,0,1.0238591879606247,0.4720223382115364,-0.4042700359225273,6.126829741062035
4,0,1.0337042473256588,0.5614463225007057,-0.5015580186247826,5.960032075610388
5,0,1.0479458393529058,0.6443222895264625,-0.5926362776756287,5.780305599587661
6,0,1.0690477890893817,0.7143498495221138,-0.6738153377175331,5.596110837803659
7,0,1.096264728344977,0.7662386059761047,-0.7436090686917305,5.4166249091505545
8,0,1.1264486545696855,0.8022348754107952,-0.805888587385416,5.251648683666863
9,0,1.1578657450154424,0.8257628627121448,-0.86244838103652,5.111264138808085
10,0,1.1897204266861081,0.8363563533872366,-0.9120217354595661,5.005112166819497
11,0,1.2223822372034192,0.8309085857123136,-0.9522584879398346,4.941293664990806
12,0,1.258483120240271,0.8050789333879947,-0.9800064207613468,4.925178225943958
13,0,1.3002239214256406,0.7582869775593281,-0.9943076099827886,4.958637043068715
14,0,1.345471584238112,0.6961443744599819,-0.9998522044718265,5.040085497764594
15,0,1.3902455205097795,0.6242500565946102,-1.004673974364996,5.165289745587205
16,0,1.4334879191592336,0.5459610320627689,-1.0165573868528008,5.328391241486172
17,0,1.4788246797397733,0.4634156547486782,-1.0417847901210189,5.522470820509785
18,0,1.5278974371030927,0.379904019087553,-1.0851928263530135,5.739885323295904
19,0,1.5759616503491998,0.29947697594761846,-1.1456027410551906,5.972632064673613
20,0,1.6189735131338239,0.22325516715645788,-1.2175084061548114,6.212714234524743
21,0,1.6560366237536073,0.15034126713871954,-1.294737607948482,6.452466747387424
22,0,1.687789742834866,0.08006885871291158,-1.3734339855238795,6.6848045635092594
23,0,1.7149271229282022,0.01217410936951635,-1.4520377151295543,6.9033809682337095
24,0,1.737826713360846,-0.053471704572439216,-1.5299595005437732,7.1026695920655545
25,0,1.7566868802532554,-0.11691695228219035,-1.6068930483981967,7.277993255617558
26,0,1.7717357259243727,-0.1782450206577778,-1.6826533309742808,7.4255198335772645
27,0,1.7833674950525165,-0.23769919350743296,-1.7571774802729487,7.542240021926994
28,0,1.792151851579547,-0.29569905027747156,-1.8305430419370532,7.625937257582809
29,0,1.79875997453928,-0.35275901630520823,-1.902971663288772,7.67515622500336
30,0,1.8038856200873852,-0.40938918069005015,-1.9748139835521579,7.689173587338564
31,0,1.808202845044434,-0.4660314150154591,-2.0465179539844396,7.667972816800775
32,0,1.8123623095452785,-0.5230393759906292,-2.118585736267269,7.6122240063182485
33,0,1.8170088855549693,-0.5806945241987705,-2.191526018790901,7.523268998825778
34,0,1.8228025157004595,-0.6392476759850979,-2.2658080465719106,7.403111804446913
35,0,1.8304263735190034,-0.698974197357893,-2.3418245769664647,7.254413877102824
36,0,1.8405693201348186,-0.7602191619575024,-2.4198646254464986,7.0804931920929315
37,0,1.8538868241012096,-0.8234042055904865,-2.5000802360102536,6.885324975273486
38,0,1.8709852080792189,-0.8889814369380474,-2.5824038691446187,6.673540092094754
39,0,1.8925341740250587,-0.957352501899004,-2.6663548059388997,6.450414169144773
40,0,1.9196187499910593,-1.0288108192384242,-2.7506537742540242,6.221836198209051
41,0,1.954237261787057,-1.1036072947084903,-2.8324808187410238,5.994239692687484
42,0,1.9992728177458048,-1.181855795532465,-2.906282999329269,5.774473335476911
43,0,2.0565628800541162,-1.2615148402750491,-2.963941198550165,5.5695841117102365
44,0,2.1226474214345217,-1.3365310259163379,-3.0007453679665925,5.386489330026874
45,0,2.1896762046962976,-1.4021801330149173,-3.0203480746224525,5.231531922853969
46,0,2.2541526425629854,-1.4584359057247638,-3.0304955772683027,5.1099508214204175
47,0,2.317179160192609,-1.506469791382551,-3.038734427429736,5.025347383573843
48,0,2.3794951532036066,-1.5447339318692683,-3.051106967739761,4.979262569778802
49,0,2.442353906109929,-1.5689506880939006,-3.071648281775415,4.9709679438989225
50,0,2.510008068755269,-1.5775151751935481,-3.0999429586902263,4.997519495468427
51,0,2.5852710399776697,-1.575059363245964,-3.1312056544795634,5.054061867523299
52,0,2.667401621118188,-1.5665037311613559,-3.1604484960064294,5.134324841989465
53,0,2.7543205488473177,-1.5542731737717985,-3.183993755616248,5.231220861565239
54,0,2.843484492972493,-1.5401106426492333,-3.200052707232535,5.337435355366875
55,0,2.933409171178937,-1.524945611692965,-3.2098520498350265,5.445918225999287
56,0,3.0239744875580072,-1.508524135313928,-3.2156618728861215,5.5502329715507335
57,0,3.115339169278741,-1.490387967415154,-3.2190098832454535,5.644769742711052
58,0,3.207534121349454,-1.4703665046021341,-3.2207532695122065,5.724855771920813
59,0,3.300491200760007,-1.4485745733603834,-3.221446226825938,5.786800572189744
60,0,3.394104966893792,-1.4253698425367474,-3.2214561638049783,5.827905652712786
