step,distance_to_target,mae,collisions
0,6.4753516880732205,6.4753516880732205,0
1,6.391244941688488,6.391244941688488,0
2,6.272934216992104,6.272934216992104,0
3,6.126829741062035,6.126829741062035,0
4,5.960032075610388,5.960032075610388,0
5,5.780305599587661,5.780305599587661,0
6,5.596110837803659,5.596110837803659,0
7,5.4166249091505545,5.4166249091505545,0
8,5.251648683666863,5.251648683666863,0
9,5.111264138808085,5.111264138808085,0
10,5.005112166819497,5.005112166819497,0
11,4.941293664990806,4.941293664990806,0
12,4.925178225943958,4.925178225943958,0
13,4.958637043068715,4.958637043068715,0
14,5.040085497764594,5.040085497764594,0
15,5.165289745587205,5.165289745587205,0
16,5.328391241486172,5.328391241486172,0
17,5.522470820509785,5.522470820509785,0
18,5.739885323295904,5.739885323295904,0
19,5.972632064673613,5.972632064673613,0
20,6.212714234524743,6.212714234524743,0
21,6.452466747387424,6.452466747387424,0
22,6.6848045635092594,6.6848045635092594,0
23,6.9033809682337095,6.9033809682337095,0
24,7.1026695920655545,7.1026695920655545,0
25,7.277993255617558,7.277993255617558,0
26,7.4255198335772645,7.4255198335772645,0
27,7.542240021926994,7.542240021926994,0
28,7.625937257582809,7.625937257582809,0
29,7.67515622500336,7.67515622500336,0
30,7.689173587338564,7.689173587338564,0
31,7.667972816800775,7.667972816800775,0
32,7.6122240063182485,7.6122240063182485,0
33,7.523268998825778,7.523268998825778,0
34,7.403111804446913,7.403111804446913,0
35,7.254413877102824,7.254413877102824,0
36,7.0804931920929315,7.0804931920929315,0
37,6.885324975273486,6.885324975273486,0
38,6.673540092094754,6.673540092094754,0
39,6.450414169144773,6.450414169144773,0
40,6.221836198209051,6.221836198209051,0
41,5.994239692687484,5.994239692687484,0
42,5.774473335476911,5.774473335476911,0
43,5.5695841117102365,5.5695841117102365,0
44,5.386489330026874,5.386489330026874,0
45,5.231531922853969,5.231531922853969,0
46,5.1099508214204175,5.1099508214204175,0
47,5.025347383573843,5.025347383573843,0
48,4.979262569778802,4.979262569778802,0
49,4.9709679438989225,4.9709679438989225,0
50,4.997519495468427,4.997519495468427,0
51,5.054061867523299,5.054061867523299,0
52,5.134324841989465,5.134324841989465,0
53,5.231220861565239,5.231220861565239,0
54,5.337435355366875,5.337435355366875,0
