episode,reward,length
0,18.505869252029896,200
1,4.382174968725071,200
2,16.657840691176514,200
3,-0.05989581747228456,200
4,3.5106653514515997,200
5,23.603713570243976,200
6,50.924173076657056,200
7,22.519297037299534,200
8,-5.909173295886166,200
9,-12.706112421168672,200
10,90.1233098550957,200
11,29.524452457852703,200
12,21.524737518798272,200
13,87.34486188057765,200
14,-30.355141091167766,200
15,126.07529575500789,200
16,80.24741355017501,200
17,-25.119510056777305,200
18,103.6848965975112,200
19,-32.93191997256865,200
20,38.57114521069266,200
21,-8.94827436656751,200
22,97.4097421362612,200
23,-86.4327682553831,200
24,16.534380359428805,200
25,-14.883770368499782,200
26,159.651940595032,200
27,-41.798703020618554,200
28,6.540513295604761,200
29,-23.800117353388597,200
30,89.93851968065563,200
31,-24.105171867605435,200
32,21.90499687155307,200
33,105.72381206937749,200
34,37.21427141210495,200
35,82.78910680444201,200
36,1.0846455144837286,200
37,57.1116537891578,200
38,80.16332754101074,200
39,81.77976212560102,200
40,-10.969335002603373,200
41,-7.887440854796424,200
42,69.30853504017219,200
43,18.379397048810088,200
44,11.36209437673083,200
45,43.49690177969261,200
46,-31.88688380387096,200
47,-66.2020625899586,200
48,-35.078148484295994,200
49,51.05182839970681,200
