episode,reward,length
0,71.27346350205923,200
1,29.802563790797414,200
2,-77.84968393119712,200
3,-50.7330184322021,200
4,-15.230062371746286,200
5,6.6402485341109525,200
6,36.119101932408924,200
7,50.33025065137866,200
8,5.579671485436272,200
9,-13.962728683907287,200
10,47.14982410440959,200
11,21.83051271300578,200
12,21.292825532944207,200
13,-43.59571897330552,200
14,-7.936227586336965,200
15,45.21519482501009,200
16,52.11100682408737,200
17,-2.30658140873361,200
18,41.716554273576435,200
19,-8.936802838794545,200
20,-3.750760565003226,200
21,-65.29856812746655,200
22,90.0507255916976,200
23,32.72567297512161,200
24,39.28355349209181,200
25,-40.024985748301646,200
26,42.19678514121064,200
27,23.57204060902285,200
28,33.53666416727786,200
29,44.94679884669433,200
30,71.7829029050234,200
31,22.802330969749445,200
32,32.025396365506595,200
33,-32.46927973458308,200
34,12.954700773609382,200
35,-11.088916039368037,200
36,27.4558613026348,200
37,-75.77768474468108,200
38,125.33011027707525,200
39,48.86578693522311,200
40,-68.57485489697034,200
41,31.0609430837938,200
42,88.37202737113913,200
43,84.8238495204134,200
44,12.581939563034226,200
45,-9.405517922522876,200
46,-53.288595907579165,200
47,42.231570262457396,200
48,-141.49937960550776,200
49,32.369378368972164,200
