step,distance_to_target,mae,collisions
0,8.387488588226573,8.387488588226573,0
1,8.272647727494418,8.272647727494418,0
2,8.107314435884675,8.107314435884675,0
3,7.897418373458113,7.897418373458113,0
4,7.649664796667324,7.649664796667324,0
5,7.371491140158218,7.371491140158218,0
6,7.071081713349404,7.071081713349404,0
7,6.757410290536329,6.757410290536329,0
8,6.4402821426356285,6.4402821426356285,0
9,6.130336141615166,6.130336141615166,0
10,5.838945162081678,5.838945162081678,0
11,5.577927655574669,5.577927655574669,0
12,5.358975325172286,5.358975325172286,0
13,5.192743498708961,5.192743498708961,0
14,5.087662473557998,5.087662473557998,0
15,5.048658574686698,5.048658574686698,0
16,5.076100206816397,5.076100206816397,0
17,5.165508759917455,5.165508759917455,0
18,5.3083296456871,5.3083296456871,0
19,5.493360931259845,5.493360931259845,0
20,5.70821820447037,5.70821820447037,0
21,5.940477944990932,5.940477944990932,0
22,6.178429588064606,6.178429588064606,0
23,6.411505072387805,6.411505072387805,0
24,6.630484259939631,6.630484259939631,0
25,6.827559961159579,6.827559961159579,0
26,6.996323124432513,6.996323124432513,0
27,7.131708832086342,7.131708832086342,0
28,7.229928917645144,7.229928917645144,0
29,7.288406659095819,7.288406659095819,0
30,7.305722209617107,7.305722209617107,0
31,7.281573334325401,7.281573334325401,0
32,7.2167538141411285,7.2167538141411285,0
33,7.11315081676982,7.11315081676982,0
34,6.973761946779391,6.973761946779391,0
35,6.80273188027905,6.80273188027905,0
36,6.605406596511224,6.605406596511224,0
37,6.388398982064252,6.388398982064252,0
38,6.1596511604209905,6.1596511604209905,0
39,5.928463897823637,5.928463897823637,0
40,5.705439784037176,5.705439784037176,0
41,5.502255729217017,5.502255729217017,0
42,5.331152063910653,5.331152063910653,0
43,5.2040273990110215,5.2040273990110215,0
44,5.131109204180708,5.131109204180708,0
45,5.119390878440765,5.119390878440765,0
46,5.1713497640168224,5.1713497640168224,0
47,5.284544128405565,5.284544128405565,0
48,5.4522368749506676,5.4522368749506676,0
49,5.664656961994387,5.664656961994387,0
50,5.910397648986761,5.910397648986761,0
51,6.177614444977126,6.177614444977126,0
52,6.454876558975737,6.454876558975737,0
53,6.731672886707563,6.731672886707563,0
54,6.998653093073039,6.998653093073039,0
55,7.247700619586132,7.247700619586132,0
56,7.4719160486174525,7.4719160486174525,0
57,7.665562376369446,7.665562376369446,0
58,7.8240013462547715,7.8240013462547715,0
59,7.943635147919674,7.943635147919674,0
60,8.021859290582972,8.021859290582972,0
61,8.057028200223526,8.057028200223526,0
62,8.048433322022806,8.048433322022806,0
63,7.996293077534422,7.996293077534422,0
64,7.901754238797533,7.901754238797533,0
65,7.766904724587715,7.766904724587715,0
66,7.594798197597563,7.594798197597563,0
67,7.3894908204627745,7.3894908204627745,0
68,7.1560896176851525,7.1560896176851525,0
69,6.90080925098207,6.90080925098207,0
70,6.631028279670943,6.631028279670943,0
71,6.355325188917291,6.355325188917291,0
72,6.08345660031391,6.08345660031391,0
73,5.826215102839231,5.826215102839231,0
74,5.595078736899239,5.595078736899239,0
75,5.4015580318151715,5.4015580318151715,0
76,5.256193515973606,5.256193515973606,0
77,5.1672856412785775,5.1672856412785775,0
78,5.1396201960509815,5.1396201960509815,0
79,5.1735740521567966,5.1735740521567966,0
80,5.264957734725251,5.264957734725251,0
