step,distance_to_target,mae,collisions
0,6.543453097255973,6.543453097255973,0
1,6.4154386521619955,6.4154386521619955,0
2,6.228077915085485,6.228077915085485,0
3,5.987296043542495,5.987296043542495,0
4,5.701604756226382,5.701604756226382,0
5,5.382739604384891,5.382739604384891,0
6,5.046570474129346,5.046570474129346,0
7,4.714247245795713,4.714247245795713,0
8,4.41324317739176,4.41324317739176,0
9,4.177262744238114,4.177262744238114,0
10,4.043040922959257,4.043040922959257,0
11,4.042362992198329,4.042362992198329,0
12,4.191567885204518,4.191567885204518,0
13,4.485902699453393,4.485902699453393,0
14,4.903545158638295,4.903545158638295,0
15,5.4150291150437955,5.4150291150437955,0
16,5.990981275105365,5.990981275105365,0
17,6.605693470425967,6.605693470425967,0
18,7.237786837585912,7.237786837585912,0
19,7.869675435358036,7.869675435358036,0
20,8.486786208949226,8.486786208949226,0
21,9.076887036518105,9.076887036518105,0
22,9.62959450261836,9.62959450261836,0
23,10.13603927093913,10.13603927093913,0
24,10.588648145294192,10.588648145294192,0
25,10.981006551201002,10.981006551201002,0
26,11.307774373987838,11.307774373987838,0
27,11.564636256218282,11.564636256218282,0
28,11.748273550043592,11.748273550043592,0
29,11.856349406839756,11.856349406839756,0
30,11.887501469736177,11.887501469736177,0
31,11.841338756304216,11.841338756304216,0
32,11.718440913602683,11.718440913602683,0
33,11.520359346218951,11.520359346218951,0
34,11.249620961143366,11.249620961143366,0
35,10.909736628715155,10.909736628715155,0
36,10.505218134434427,10.505218134434427,0
37,10.041609656130221,10.041609656130221,0
38,9.525542999653723,9.525542999653723,0
39,8.964830425258977,8.964830425258977,0
40,8.36861538967195,8.36861538967195,0
41,7.747610053755501,7.747610053755501,0
42,7.114457402652186,7.114457402652186,0
43,6.484258054825189,6.484258054825189,0
44,5.875274015451601,5.875274015451601,0
45,5.3097025360319225,5.3097025360319225,0
46,4.814079046664461,4.814079046664461,0
47,4.418198242893485,4.418198242893485,0
48,4.150769224540371,4.150769224540371,0
49,4.030981011467278,4.030981011467278,0
50,4.0595072212626295,4.0595072212626295,0
51,4.216296780962453,4.216296780962453,0
