step,agent_id,Kp,Ki,Kd,mae
0,0,1.1580844968557358,0.06862200647592545,0.08059390097856521,6.543453097255973
1,0,1.3190920054912567,0.03987352401018143,0.15315443485975266,6.4154386521619955
2,0,1.4828861504793167,0.014365302771329885,0.22887240558862687,6.228077915085485
3,0,1.6492720544338226,-0.006973048299551005,0.30905232787132264,5.987296043542495
4,0,1.817883938550949,-0.022922530397772783,0.3951298913359642,5.701604756226382
5,0,1.9880029112100601,-0.032128507830202574,0.4886261469125748,5.382739604384891
6,0,2.158290207386017,-0.03337578624486923,0.5909260606765747,5.046570474129346
7,0,2.3265372812747955,-0.025963348429650063,0.7027309632301331,4.714247245795713
8,0,2.489755854010582,-0.01008680379018187,0.8233435696363449,4.41324317739176
9,0,2.644710913300514,0.013195727858692413,0.9505291527509689,4.177262744238114
10,0,2.788266658782959,0.04265191489830614,1.0812209194898605,4.043040922959257
11,0,2.9174616634845734,0.07751791635528207,1.212309787273407,4.042362992198329
12,0,3.030075751245022,0.11759645575657487,1.3411698287725449,4.191567885204518
13,0,3.1253706365823746,0.1632421956397593,1.4659883922338486,4.485902699453393
14,0,3.204027011990547,0.21538985604420305,1.5857979825139046,4.903545158638295
15,0,3.267568491399288,0.2750905686058104,1.7003212144970894,5.4150291150437955
16,0,3.317989870905876,0.3424479597248137,1.809669362604618,5.990981275105365
17,0,3.35741975158453,0.4159991973079741,1.9140366113185883,6.605693470425967
18,0,3.3876176476478577,0.4934477218426764,2.0137262886762617,7.237786837585912
19,0,3.409713748842478,0.5727995046414435,2.1092254242300985,7.869675435358036
20,0,3.4243713887408376,0.652772591356188,2.2010776570439337,8.486786208949226
21,0,3.4320508828386664,0.732658387068659,2.289731877148151,9.076887036518105
22,0,3.4331728545948863,0.8121008732356131,2.3754996082186697,9.62959450261836
23,0,3.428193754516542,0.8909469553269446,2.4585946521162985,10.13603927093913
24,0,3.4176384145393968,0.9691616975702345,2.539192879796028,10.588648145294192
25,0,3.402110389433801,1.0467808329500259,2.617477970421314,10.981006551201002
26,0,3.3822882184758782,1.1238832109607757,2.693664910495281,11.307774373987838
27,0,3.358913171105087,1.2005745106376708,2.768005745708942,11.564636256218282
28,0,3.3327748188748956,1.2769772269763053,2.840784685909748,11.748273550043592
29,0,3.304700023494661,1.3532243081368507,2.9123085385560987,11.856349406839756
30,0,3.2755496921017766,1.4294546329416336,2.982896561026573,11.887501469736177
31,0,3.246225438080728,1.5058095761574806,3.052871609330177,11.841338756304216
32,0,3.2176864268258214,1.5824300878681243,3.1225528067350385,11.718440913602683
33,0,3.190975467674434,1.6594543763436378,3.1922490245103834,11.520359346218951
34,0,3.167252221144736,1.7370164477266372,3.262251952886581,11.249620961143366
35,0,3.14782842900604,1.8152456366457046,3.3328275328874586,10.909736628715155
36,0,3.134195868857205,1.89426663601771,3.404205182790756,10.505218134434427
37,0,3.128029224462807,1.9741975971497596,3.476565802693367,10.041609656130221
38,0,3.1311364518478513,2.0551407196559013,3.550031790733337,9.525542999653723
39,0,3.1453259894624352,2.1371567183174194,3.6246629229187963,8.964830425258977
40,0,3.1721799252554774,2.220217012707144,3.700455816686153,8.36861538967195
41,0,3.212785857729614,2.304140188638121,3.7773303335905073,7.747610053755501
42,0,3.267591546289623,2.38854730213061,3.8550877740979193,7.114457402652186
43,0,3.3366376934573054,2.472910419944674,3.9333814030885694,6.484258054825189
44,0,3.4202290354296565,2.5567213454283775,4.011772485673427,5.875274015451601
45,0,3.519545684568584,2.6396188446320594,4.08979254424572,5.3097025360319225
46,0,3.6364631382748485,2.7213229545392097,4.166849607825279,4.814079046664461
47,0,3.77226887922734,2.801466160360724,4.242096046209335,4.418198242893485
48,0,3.9259212790057063,2.879516535345465,4.314581388831138,4.150769224540371
49,0,4.093590932898223,2.954947450105101,4.383650930821895,4.030981011467278
50,0,4.270293000154197,3.0274886869825424,4.449118377864361,4.0595072212626295
51,0,4.452106985263526,3.097226978186518,4.511170456409454,4.216296780962453
52,0,4.637226435355842,3.1645333700813354,4.570353018343448,4.467777019419419
53,0,4.825572612695396,3.2298311003483833,4.627550529539585,4.7773312005632596
54,0,5.017817365936935,3.2933746659196914,4.683760086297989,5.112345355562782
55,0,5.21462497394532,3.3552064643241466,4.7398208251595495,5.4466256702297535
56,0,5.416337954811752,3.4152545751072467,4.796301977932453,5.760142142049944
57,0,5.62295703869313,3.473455094639212,4.853547217547893,6.037912721449289
58,0,5.834224226884544,3.5298307062126697,4.9117748832702635,6.268890780886921
59,0,6.049707221798599,3.5845158592797817,4.971159162223339,6.4451093313392525
60,0,6.268859433941543,3.637745262030512,5.0318662098050115,6.561092035977714
61,0,6.491060080938041,3.6898247272707523,5.094049008786678,6.6134776562214554
62,0,6.715645167045295,3.741097652260214,5.157815331816673,6.600805271168648
63,0,6.94193762820214,3.791917466465384,5.223184960186481,6.523425162670236
64,0,7.169280963949859,3.8426334195770324,5.290051954090595,6.383519937036745
65,0,7.39707528334111,3.8935951822437347,5.358166868090629,6.185239581155969
66,0,7.6248111156746745,3.9451778874732555,5.427150244116783,5.9349734799398455
67,0,7.852099972777069,3.9978255675174297,5.4965401089191435,5.641801977844985
68,0,8.07870680373162,4.052106709126383,5.56586252361536,5.3181839763670995
69,0,8.304587411694229,4.108767633233219,5.634701879918575,4.980921322290807
70,0,8.529903116635978,4.1687485844828185,5.702743331193924,4.652326126862971
71,0,8.754932719282806,4.233097848389297,5.769770274162292,4.361153938054462
72,0,8.979810598306358,4.302731943223625,5.835616016983986,4.1420856456582085
73,0,9.204188051633537,4.378115651104599,5.900075087547302,4.031667471483408
74,0,9.427081885747612,4.4590694949962195,5.962801965177059,4.059474645421774
75,0,9.647003906778991,4.544836793933063,6.023322293758392,4.2379021504586385
76,0,9.862147676758468,4.634343829844147,6.081299433708191,4.558286536744398
77,0,10.07049687486142,4.726468619797378,6.136930333673954,4.996553483548488
78,0,10.270077276043594,4.820183400902897,6.191086376309395,5.522778411441368
79,0,10.459480333141983,4.914621782395988,6.2450241914391516,6.108138976399286
80,0,10.638321655802429,5.0091663644649085,6.29995531797409,6.727773829222556
81,0,10.807233485393226,5.103495505545288,6.3568058109283445,7.361099472503765
82,0,10.967452737502754,5.197492633853107,6.416163021922111,7.99117564319067
83,0,11.120383041910827,5.291073587629944,6.478266904354095,8.603931323247746
84,0,11.267334717325866,5.384078216645866,6.543032596111297,9.18752675559472
85,0,11.409409838728607,5.476299044582992,6.610153155624866,9.73189476263924
86,0,11.547483536414802,5.567576725874096,6.6792313626408575,10.228432007837224
87,0,11.682255568914115,5.6578600377775725,6.749861309528351,10.669799246294936
88,0,11.814328375272453,5.747207444999367,6.821655335128307,11.049796012431692
89,0,11.94427407067269,5.835759875271469,6.894247563779354,11.363284415508904
90,0,12.07267505209893,5.923711438570171,6.967292079925537,11.606144492071513
91,0,12.200138884596527,6.011287433002144,7.0404587855935095,11.775249270019064
92,0,12.327293950133026,6.09873029300943,7.113427074849605,11.868451693220301
93,0,12.454772564582527,6.186290872190147,7.185877384841442,11.884578340178054
94,0,12.583187418989837,6.274222415778786,7.257482068836689,11.823426866439972
95,0,12.713106426410377,6.362774518225342,7.327897871136665,11.685765624092088
96,0,12.845032530836761,6.452184979710728,7.396762276291847,11.473335200649705
97,0,12.979397687129676,6.54266656646505,7.4636971673369406,11.188852869835923
98,0,13.116583260707557,6.6343866408802565,7.528321856856346,10.8360223468447
99,0,13.256978931836784,6.7274378434754905,7.590273918807506,10.419553006728549
100,0,13.401083650998771,6.821802210900932,7.64922806084156,9.945195135613044
101,0,13.549630749039352,6.917317879293114,7.704898352026939,9.41980121612334
102,0,13.70368133764714,7.013669204805046,7.757026026248932,8.851428179242417
103,0,13.864590841345489,7.1104222656227645,7.805393854379654,8.249502456366132
104,0,14.033763158135116,7.20709141055122,7.849908573776483,7.625078499976826
105,0,14.212209421209991,7.303183552715927,7.890729831755161,6.991229987069654
106,0,14.400100397877395,7.398218777868896,7.9284015467762945,6.363611921883893
107,0,14.596619251184165,7.49177086064592,7.963968524932861,5.761192784260663
108,0,14.800218808464706,7.583504107687622,7.999039000123739,5.2070067008055405
109,0,15.009059491567314,7.673201483581215,8.035695532560348,4.728381570584857
110,0,15.22146515827626,7.760814537201076,8.076144943237304,4.355373637535212
